Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
FACT-FRZ-001,Factory-owned critical keys,"Factory freeze scope covers HS_CTRL OUT_FET OUT2_ESCAPE_FET INPUT_IDEAL_DIODE INPUT_REVERSE_FET INPUT_TVS LOGIC_BUCK LOGIC_BUCK_INDUCTOR TOTAL_CURRENT_MONITOR TOTAL_CURRENT_SHUNT THERMAL_NTC B2B_CONNECTOR and CAN1_TX_DISABLE exactly as factory-owned critical keys","PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_symbol_bom_map.csv","Factory-owned critical keys match the assembly-readiness trace sourcing recheck and symbol-to-BOM ownership rows before schematic freeze","Do not lock factory BOM scope if any critical key is missing or assigned to the wrong owner"
FACT-FRZ-002,Critical alternate coverage,"Every factory-owned critical populated component keeps a selected MPN or class plus at least two alternatives using Alternate 1 and Alternate 2 in PB-100-symbol-mpn-readiness.csv; CAN1_TX_DISABLE keeps no populated TX alternative without future ADR","PB-100-symbol-mpn-readiness.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","All factory critical rows keep selected and alternate sources auditable before MPN and footprint lock","Do not reduce alternate coverage below two viable alternatives for critical populated components"
FACT-FRZ-003,Factory assembly-platform recheck,"JLCPCB PCBWay assembly class reel tray cut tape package handling and extended-part handling are rechecked for selected and alternate MPNs before schematic freeze","PB-100-factory-assembly-platform-evidence.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv; PB-100-assembly-readiness-trace.csv","Selected and alternate factory parts have current assembly-class packaging and generic PCBWay process evidence before PCBA order package release","Do not emit pick-place BOM-lock or assembly-output files from stale assembly-platform assumptions"
FACT-FRZ-004,Date-stamped distributor continuity,"The 2026-07-16 date-stamped pb100_sourcing_evidence_snapshot.csv is the current sourcing snapshot and each factory key must retain authorized distributor continuity exact orderable suffix and open sourcing blocker text until rechecked","production/bom/pb100_sourcing_evidence_snapshot.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Date-stamped manufacturer distributor and assembly evidence are refreshed before schematic freeze and BOM lock","Do not treat preliminary sourcing evidence as locked or evergreen"
FACT-FRZ-005,Power-path package handling,"TPS48110AQDGXRQ1 19-VSSOP, SIDR626LDP-T1-RE3 PowerPAK, IAUTN06S5N008ATMA1 TOLL, BUK7S1R2-80M LFPAK88, LM74700QDBVRQ1 SOT-23-6 and dual PowerPAK fallback package handling remain under JLCPCB PCBWay recheck","PB-100-input-reverse-q1-freeze-checklist.csv; PB-100-output-stage-value-freeze-checklist.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Controller MOSFET ideal-diode and Q1 packages have assembly handling thermal footprint and reel evidence before schematic values are locked","Do not lock TOLL LFPAK88 PowerPAK or 19-VSSOP footprints before assembly and thermal review"
FACT-FRZ-006,Input TVS source hygiene,"INPUT_TVS keeps Vishay SM8S33AHM3/I DO-218AC as preferred active branch with SLD8S33A DM8W33AQ-13 and SM8S33A-Q alternates; MCC SM8S33A EOL and Vishay HE3 NFD remain excluded from lock","PB-100-tvs-overshoot-escape-checklist.csv; PB-100-tvs-load-dump-freeze-review.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","TVS source evidence excludes obsolete or stock-only paths and keeps load-dump clamp margin open until reviewed","Do not lock MCC SM8S33A EOL or Vishay HE3 NFD as active Rev.1 TVS source"
FACT-FRZ-007,Logic telemetry sensor sourcing,"LOGIC_BUCK keeps LM5164QDDATQ1 with LM5013-Q1 and TPS54360B-Q1 alternates; TOTAL_CURRENT_MONITOR keeps INA228-Q1 INA229-Q1 INA226; TOTAL_CURRENT_SHUNT keeps CSS4J-4026R-L500F with 1.0mΩ fallback; THERMAL_NTC keeps NTCGS103JF103FT8 Vishay NTCS0402E3 and Murata NCU18","PB-100-logic-power-value-freeze-checklist.csv; PB-100-current-telemetry-value-freeze-checklist.csv; PB-100-thermal-telemetry-value-freeze-checklist.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Logic power current telemetry and thermal telemetry factory parts have active source alternates and package evidence before BOM lock","Do not lock regulator monitor shunt or NTC values without sourcing and calibration evidence"
FACT-FRZ-008,B2B and CAN1 production handling,"PB-100-fx18-paired-stack-closeout.md closes the Hirose FX18-100P-0.8SV10 plus FX18-100S-0.8SV10 20 mm pre-layout stack; tray/reel handling remains a factory recheck and CAN1_TX_DISABLE stays DNP/open with no default-populated TX path and future ADR requirement","PB-100-fx18-paired-stack-closeout.md; PB-100-b2b-lb100-pin-audit-checklist.csv; PB-100-can1-production-dnp-review.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Mezzanine connector handling and CAN1 safety DNP production notes are explicit before assembly release","Do not populate CAN1 TX or release the assembly package before package handling and DNP review close"
FACT-FRZ-009,BOM evidence synchronization,"factory_bom_draft.csv pb100_symbol_bom_map.csv pb100_assembly_sourcing_recheck.csv pb100_sourcing_evidence_snapshot.csv PB-100-review-release-manifest.csv and PB-100-schematic-freeze-checklist.md stay synchronized for every factory-owned key","production/bom/factory_bom_draft.csv; production/bom/pb100_symbol_bom_map.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv; PB-100-review-release-manifest.csv; PB-100-schematic-freeze-checklist.md","Factory BOM ownership sourcing snapshot and release manifest agree before schematic freeze","Do not place PCBA orders from mismatched BOM map sourcing evidence or release manifest rows"
FACT-FRZ-010,No-layout manufacturing boundary,"Factory assembly readiness remains schematic-only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place centroid fabrication zip assembly output or PCBA order package is authorized until all freeze gates close","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; PB-100-schematic-capture-work-queue.csv","Repository contains no layout or manufacturing output and factory readiness cannot bypass schematic freeze","Do not create PB-100.kicad_pcb Gerbers drills pick-place centroid assembly output or fabrication package before schematic freeze"
