Check ID,Scope,Local footprint,Evidence source,Close result,Status,Blocked action
PB-FP-PROG-001,TPS48110 high-side controller,hardware/power-board/PB-100/kicad/lib/PB100.pretty/VSSOP-20_19P-L5.0-W3.0-P0.50-LS5.0-BL_PE16.kicad_mod,JLCPCB C17556513 EasyEDA footprint; TI DGX/VSSOP package evidence in inventory,Closed: local VSSOP footprint exists and is KiCad-normalized for symbol binding,Closed,Do not create PB-100.kicad_pcb until all remaining open PB footprints and mechanical gates close
PB-FP-PROG-002,Default output MOSFET,hardware/power-board/PB-100/kicad/lib/PB100.pretty/POWERPAK-SO-8_L6.1-W5.1-P1.27-BL-EP.kicad_mod,JLCPCB C3279576 EasyEDA footprint; Vishay PowerPAK SO-8DC source in inventory,Closed: local PowerPAK footprint exists for default output MOSFET symbol binding,Closed,Do not route power copper or thermal vias before PB thermal/current layout model closes
PB-FP-PROG-003,LM74700 reverse controller,hardware/power-board/PB-100/kicad/lib/PB100.pretty/SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL.kicad_mod,JLCPCB C2941042 EasyEDA footprint; TI DBV package evidence in inventory,Closed: local SOT-23-6 footprint exists for reverse controller binding,Closed,Do not bind an input power path before gate-network orientation review closes
PB-FP-PROG-004,LM5164 logic buck,hardware/power-board/PB-100/kicad/lib/PB100.pretty/SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP2.9.kicad_mod,JLCPCB C1850350 EasyEDA footprint; TI DDA PowerPAD package evidence in inventory,Closed: local SO PowerPAD footprint exists for preferred logic buck symbol binding,Closed,Do not create switch-node copper or thermal-via layout before logic-power placement review closes
PB-FP-PROG-005,INA228-class total current monitor,hardware/power-board/PB-100/kicad/lib/PB100.pretty/VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL.kicad_mod,JLCPCB C5214669 EasyEDA footprint; TI INA228 package evidence in inventory,Closed: local VSSOP-10 footprint exists for monitor symbol binding,Closed,Do not route Kelvin sense until shunt footprint and current telemetry placement review close
PB-FP-PROG-006,Thermal NTC 0402,hardware/power-board/PB-100/kicad/lib/PB100.pretty/R0402.kicad_mod,JLCPCB C26651299 EasyEDA 0402 footprint; TDK NTC source in inventory,Closed: local 0402 footprint exists for analog thermal sensors,Closed,Do not place hot-zone sensors before PB mechanical and thermal layout inputs close
PB-FP-PROG-007,JPB1 FX18 board-to-board connector pair,PB100.pretty/FX18-100P-0.8SV10_Hirose.kicad_mod plus LB100.pretty/FX18-100S-0.8SV20_Hirose.kicad_mod,Hirose FX18 official catalog recommended land pattern; Hirose 2D drawings 0000951879 and 0000951892; LCSC/JLC IDs C3640134 and C3648466,Closed: project-local source-derived signal-pad footprints exist for the 100-position 0.8mm FX18 pair; MF/TH mechanical details stay in mechanical envelope gate,Closed,Do not create PB-100.kicad_pcb until remaining PB footprints plus JPB1 mechanical datum stack vibration and assembly handling gates close
PB-FP-PROG-008,LM5013-Q1 logic buck alternate,hardware/power-board/PB-100/kicad/lib/PB100.pretty/SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP2.9.kicad_mod,TI LM5013-Q1 and LM5164-Q1 datasheets both identify DDA SO PowerPAD-8 1.27mm pitch package evidence,Closed: existing local SO PowerPAD-8 footprint also covers LM5013-Q1 alternate footprint binding,Closed,Do not change the selected logic buck from LM5164 without logic-power current thermal EMI and sourcing review
PB-FP-PROG-009,CAN1 TX-disable default-open hardware,hardware/power-board/PB-100/kicad/lib/PB100.pretty/R0603_DNP_LINK_1608Metric.kicad_mod plus hardware/power-board/PB-100/kicad/lib/PB100.pretty/SOT-23-5_DBV_TI.kicad_mod,ADR-0002; PB-100-can1-tx-disable-design-calculation.md; TI SN74LVC1G125-Q1 DBV0005A land pattern; PB-100-footprint-binding-closeout-2026-07-20.md,Closed: local 0603 DNP/open JP_CAN1 footprint and SOT-23-5 DBV U_CAN1 gate footprint exist while default vehicle-CAN TX remains physically open,Closed,Do not populate JP_CAN1 or release CAN1 TX route without future ADR explicit hardware action and DNP/open production inspection
PB-FP-PROG-010,Input TVS DO-218AC,hardware/power-board/PB-100/kicad/lib/PB100.pretty/DO-218AC_Vishay_SM8S.kicad_mod,Vishay SM8S datasheet package outline and mounting pad layout,Closed: local Vishay DO-218AC footprint exists for input TVS symbol binding,Closed,Do not route input surge copper before polarity creepage large-pad paste and TVS thermal layout review close
PB-FP-PROG-011,Total input current shunt CSS4J-4026,hardware/power-board/PB-100/kicad/lib/PB100.pretty/CSS4J-4026_Bourns.kicad_mod,Bourns CSS4J-4026 datasheet recommended pad layout and AEC-Q200 evidence,Closed: local CSS4J-4026 footprint exists with separated force and Kelvin sense pad geometry,Closed,Do not route shunt copper or INA Kelvin traces before force/sense polarity pulse power solder voiding and copper heating review close
